Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,item_avg_sales,Item_Sales_Deviation,Performance_Label,Predicted_Label
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,26,5043.131278998768,-1307.993278998768,2,1
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,16,726.1624802824215,-282.7396802824215,0,0
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,26,1625.1930783410637,472.07692165893627,1,1
FDX07,19.2,Regular,0.07030343626048781,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,27,3010.0157538976728,-2277.6357538976727,0,0
NCD19,8.93,Low Fat,0.07030343626048781,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,38,722.6050124227245,272.1001875772755,0,0
FDP36,10.395,Regular,0.07030343626048781,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,16,1013.2305631814113,-456.6217631814113,0,0
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,38,828.1982514399355,-484.64545143993547,0,0
FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,40,1383.851712100215,2638.911887899785,2,2
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,23,1482.9513719529282,-406.35277195292815,1,1
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,18,2120.0755416763786,2590.459458323621,2,2
FDY07,11.8,Low Fat,0.07030343626048781,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,26,731.1059910745748,784.9206089254251,1,1
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,28,2204.0812468363342,-16.928246836334438,1,1
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,26,2123.5174144571183,-534.2528144571183,1,1
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,28,1898.6711147845474,246.53648521545279,1,1
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,38,2612.98441754273,-635.5584175427302,1,1
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,28,810.0995679805362,737.2196320194637,1,1
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,16,1888.627642867904,-266.73884286790394,1,1
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,26,810.0995679805362,-91.70136798053625,0,0
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,40,1487.372262450484,816.2957375495162,1,1
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,21,3635.893952878851,-887.4715528788511,1,1
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,38,3609.9444643798834,165.14153562011643,2,2
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,40,1809.9446225618292,2254.0985774381707,2,2
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,21,2786.693890806362,-1199.426690806362,1,1
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,40,1641.0932604827517,-1426.7056604827517,0,0
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,28,2519.286254593002,1558.738745406998,2,2
NCD06,13.0,Low Fat,0.099887103,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,18,680.0497888233133,158.85821117668672,0,0
